content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
CHASING SHADOWS IS OFFICIALLY OUT!!! https://t.co/7d23IQnOMX,Tue Dec 06 20:07:02 +0000 2022,2022-12-06 20:07:02+00:00,89,,['https://youtu.be/eoH1d3xhwZE'],0,,4,11,,https://twitter.com/alexwaarren/status/1600220288889008128,1600220288889008128,1600220288889008128
@emily_here_13 ily,Mon Dec 05 01:37:09 +0000 2022,2022-12-05 01:37:09+00:00,1,,[],0,,1,0,,https://twitter.com/alexwaarren/status/1599578591666524162,1599578591666524162,1599232860812369921
i love u https://t.co/cXtdGAIhDA,Sun Dec 04 02:43:20 +0000 2022,2022-12-04 02:43:20+00:00,140,,['https://twitter.com/emily_here_13/status/1599227611125022720'],0,https://twitter.com/emily_here_13/status/1599227611125022720,3,5,,https://twitter.com/alexwaarren/status/1599232860812369921,1599232860812369921,1599232860812369921
"She’s sad, betrayed, hurt. @Ticketmaster https://t.co/qqzgME6QSU",Tue Nov 15 18:11:48 +0000 2022,2022-11-15 18:11:48+00:00,294,"[Photo(previewUrl='https://pbs.twimg.com/media/Fhn8G2wUYAUA0qc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fhn8G2wUYAUA0qc?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/Fhn8G2uVEAAMfrk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fhn8G2uVEAAMfrk?format=jpg&name=large', type='photo')]",[],2,,8,3,,https://twitter.com/alexwaarren/status/1592581145291796481,1592581145291796481,1592581145291796481
i am mad at you. You made my girlfriend cry. https://t.co/idWHcaR2AS,Tue Nov 15 18:09:54 +0000 2022,2022-11-15 18:09:54+00:00,373,,['https://twitter.com/TMFanSupport/status/1592546502484054017'],0,https://twitter.com/TMFanSupport/status/1592546502484054017,5,6,,https://twitter.com/alexwaarren/status/1592580665924792320,1592580665924792320,1592580665924792320
i bought twitter blue does this mean i’m not official anymore?,Thu Nov 10 08:10:17 +0000 2022,2022-11-10 08:10:17+00:00,558,,[],1,,17,9,,https://twitter.com/alexwaarren/status/1590617829254266881,1590617829254266881,1590617829254266881
so im official? ooooo,Thu Nov 10 08:08:38 +0000 2022,2022-11-10 08:08:38+00:00,105,,[],0,,2,0,,https://twitter.com/alexwaarren/status/1590617415230328837,1590617415230328837,1590616961096224768
wait how do you check if you’re official… also what does that mean and why is it all over my timeline,Thu Nov 10 08:06:50 +0000 2022,2022-11-10 08:06:50+00:00,323,,[],3,,6,4,,https://twitter.com/alexwaarren/status/1590616961096224768,1590616961096224768,1590616961096224768
is it me? or was last night just trunk-or-treat?!,Tue Nov 01 17:46:21 +0000 2022,2022-11-01 17:46:21+00:00,376,,[],0,,11,14,,https://twitter.com/alexwaarren/status/1587501312681263105,1587501312681263105,1587501312681263105
i hope kids come to trick or treat in our neighborhood… Kouvr got 3 buckets full of candy and she is waiting outside our house🥺 https://t.co/elxdV566jo,Tue Nov 01 00:11:05 +0000 2022,2022-11-01 00:11:05+00:00,1319,"[Photo(previewUrl='https://pbs.twimg.com/media/Fgb-frnVIAA7GIl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgb-frnVIAA7GIl?format=jpg&name=large', type='photo')]",[],3,,14,22,,https://twitter.com/alexwaarren/status/1587235743692296193,1587235743692296193,1587235743692296193
why did kouvr say “it’s cause there’s a scorpion on the moon”?,Fri Oct 21 01:32:45 +0000 2022,2022-10-21 01:32:45+00:00,243,,[],1,,2,2,,https://twitter.com/alexwaarren/status/1583270031269371904,1583270031269371904,1583270031269371904
today was so off… whoever is writing my story took a break today i guess.,Fri Oct 21 01:32:11 +0000 2022,2022-10-21 01:32:11+00:00,343,,[],1,,2,8,,https://twitter.com/alexwaarren/status/1583269886364508160,1583269886364508160,1583269886364508160
I know for a fact that if my mom wasn’t dead you would’ve killed her with your wine. https://t.co/4f0cEFlgay,Tue Oct 18 06:18:36 +0000 2022,2022-10-18 06:18:36+00:00,299,,['https://twitter.com/tanamongeau/status/1582254276872527878'],0,https://twitter.com/tanamongeau/status/1582254276872527878,12,4,,https://twitter.com/alexwaarren/status/1582254802100113408,1582254802100113408,1582254802100113408
i miss roasting tana mongeau on here all the time.,Tue Oct 18 00:36:15 +0000 2022,2022-10-18 00:36:15+00:00,536,,[],1,,6,3,,https://twitter.com/alexwaarren/status/1582168647060975616,1582168647060975616,1582168647060975616
why do girls carpool to the bathroom? No one will give me the answer.,Sun Oct 16 03:23:47 +0000 2022,2022-10-16 03:23:47+00:00,632,,[],5,,11,17,,https://twitter.com/alexwaarren/status/1581486032314281985,1581486032314281985,1581486032314281985
apparently everyone looks like dream,Tue Oct 04 01:11:32 +0000 2022,2022-10-04 01:11:32+00:00,627,,[],0,,4,7,,https://twitter.com/alexwaarren/status/1577104096116424704,1577104096116424704,1577104096116424704
HeadLights lyric video is officially out! https://t.co/cnKH9ZuPM0 https://t.co/XXmVDoZEHr,Tue Sep 20 00:19:41 +0000 2022,2022-09-20 00:19:41+00:00,152,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1572017566067085312/pu/img/bWMvz_tWkd3FSomL.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572017566067085312/pu/vid/1280x720/8TcTXaOIJ2VvFRt2.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1572017566067085312/pu/pl/NK-wLdKhK-eSYj17.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572017566067085312/pu/vid/640x360/TUapMz1MNtip3tSr.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572017566067085312/pu/vid/480x270/GCCghxCAz0LbIQtt.mp4?tag=12', bitrate=256000)], duration=33.625, type='video')]",['https://www.youtube.com/watch?v=MfJgJff66m8'],0,,2,6,,https://twitter.com/alexwaarren/status/1572017618651086848,1572017618651086848,1572017618651086848
i posted a video and my toes were shown and they called them concrete grippers… i hate my life.,Sun Sep 18 21:25:07 +0000 2022,2022-09-18 21:25:07+00:00,402,,[],0,,7,7,,https://twitter.com/alexwaarren/status/1571611300303892480,1571611300303892480,1571611300303892480
